,0
957,48070
958,48120
959,48170
960,48220
961,48270
962,48320
963,48370
964,48420
965,48470
966,48520
967,48570
968,48620
969,48670
970,48720
971,48770
972,48820
973,48870
974,48920
975,48970
976,49020
977,49070
978,49120
979,49170
980,49220
981,49271
982,49321
983,49371
984,49421
985,49471
986,49521
987,49616
988,49668
989,49718
990,49768
991,49824
992,49874
993,49927
994,49983
995,50033
996,50083
997,50133
998,50183
999,50233
1000,50283
1001,50334
1002,50397
1003,50459
1004,50509
1005,50559
1006,50609
1007,50659
1008,50709
1009,50759
1010,50809
1011,50859
1012,50911
1013,50964
1014,51024
1015,51074
1016,51124
1017,51174
1018,51224
1019,51274
1020,51324
1021,51374
1022,51424
1023,51474
1024,51524
1025,51574
1026,51624
1027,51674
1028,51724
1029,51774
1030,51824
1031,51874
1032,51924
1033,51974
1034,52024
1035,52074
1036,52124
1037,52174
1038,52224
1039,52274
1040,52324
1041,52374
1042,52424
1043,52474
1044,52524
1045,52574
1046,52624
1047,52674
1048,52733
1049,52783
1050,52833
1051,52883
1052,52933
1053,52983
1054,53033
1055,53092
1056,53142
1057,53192
1058,53242
1059,53292
1060,53342
1061,53395
1062,53445
1063,53495
1064,53545
1065,53595
1066,53645
1067,53695
1068,53745
1069,53795
1070,53845
1071,53895
1072,53945
1073,53995
1074,54045
1075,54095
1076,54145
1077,54195
1078,54245
1079,54295
1080,54345
1081,54395
1082,54445
1083,54531
1084,54595
1085,54645
1086,54695
1087,54745
1088,54795
1089,54845
1090,54895
1091,54945
1092,54995
1093,55045
1094,55095
1095,55145
1096,55195
1097,55245
1098,55295
1099,55345
1100,55395
1101,55445
1102,55495
1103,55545
1104,55595
1105,55645
1106,55695
1107,55745
1108,55795
1109,55845
1110,55895
1111,55981
1112,56031
1113,56081
1114,56131
1115,56181
1116,56231
1117,56281
1118,56331
1119,56381
1120,56431
1121,56481
1122,56531
1123,56581
1124,56631
1125,56681
1126,56731
1127,56781
1128,56831
1129,56881
1130,56931
1131,56981
1132,57031
1133,57081
1134,57131
1135,57181
1136,57231
1137,57281
1138,57338
1139,57388
1140,57438
1141,57488
1142,57538
1143,57592
1144,57642
1145,57692
1146,57742
1147,57792
1148,57842
1149,57892
1150,57942
1151,57992
1152,58042
1153,58092
1154,58142
1155,58192
1156,58242
1157,58292
1158,58342
1159,58403
1160,58453
1161,58503
1162,58553
1163,58603
1164,58653
1165,58703
1166,58753
1167,58803
1168,58853
1169,58903
1170,58953
1171,59003
1172,59053
1173,59103
1174,59153
1175,59203
1176,59253
1177,59303
1178,59353
1179,59403
1180,59453
1181,59503
1182,59553
1183,59603
1184,59653
1185,59703
1186,59753
1187,59803
1188,59853
1189,59903
1190,59954
1191,60004
1192,60054
1193,60104
1194,60154
1195,60204
1196,60254
1197,60304
1198,60354
1199,60404
1200,60454
1201,60506
1202,60556
1203,60606
1204,60656
1205,60706
1206,60756
1207,60806
1208,60856
1209,60906
1210,60962
1211,61012
1212,61066
1213,61116
1214,61166
1215,61216
1216,61266
1217,61317
1218,61367
1219,61417
1220,61467
1221,61517
1222,61567
1223,61617
1224,61667
1225,61717
1226,61767
1227,61817
1228,61867
1229,61919
1230,61969
1231,62019
1232,62069
1233,62119
1234,62169
1235,62219
1236,62269
1237,62319
1238,62369
1239,62422
1240,62472
1241,62522
1242,62572
1243,62622
1244,62672
1245,62722
1246,62772
1247,62822
1248,62872
1249,62922
1250,62972
1251,63022
1252,63072
1253,63132
1254,63182
1255,63232
1256,63282
1257,63332
1258,63382
1259,63432
1260,63482
1261,63532
1262,63582
1263,63632
1264,63682
1265,63732
1266,63782
1267,63832
1268,63882
1269,63932
1270,63986
1271,64039
1272,64089
1273,64139
1274,64189
1275,64239
1276,64289
1277,64339
1278,64389
1279,64439
1280,64489
1281,64539
1282,64589
1283,64639
1284,64689
1285,64739
1286,64789
1287,64839
1288,64900
1289,64958
1290,65008
1291,65058
1292,65108
1293,65158
1294,65208
1295,65258
1296,65308
1297,65358
1298,65412
1299,65462
1300,65512
1301,65562
1302,65612
1303,65662
1304,65712
1305,65762
1306,65812
1307,65866
1308,65916
1309,65966
1310,66016
1311,66066
1312,66116
1313,66167
1314,66217
1315,66267
1316,66324
1317,66374
1318,66424
1319,66474
1320,66524
1321,66574
1322,66624
1323,66679
1324,66729
1325,66779
1326,66829
1327,66879
1328,66929
1329,66979
1330,67029
1331,67079
1332,67129
1333,67179
1334,67229
1335,67279
1336,67329
1337,67379
1338,67429
1339,67479
1340,67529
1341,67579
1342,67629
1343,67679
1344,67729
1345,67779
1346,67829
1347,67879
1348,67933
1349,67996
1350,68046
1351,68098
1352,68148
1353,68198
1354,68248
1355,68298
1356,68348
1357,68398
1358,68456
1359,68506
1360,68556
1361,68619
1362,68669
1363,68719
1364,68769
1365,68819
1366,68869
1367,68919
1368,68969
1369,69019
1370,69069
1371,69119
1372,69169
1373,69221
1374,69271
1375,69321
1376,69374
1377,69428
1378,69478
1379,69531
1380,69581
1381,69631
1382,69681
1383,69731
1384,69781
1385,69831
1386,69881
1387,69931
1388,69982
1389,70032
1390,70082
1391,70142
1392,70192
1393,70242
1394,70292
1395,70342
1396,70393
1397,70443
1398,70493
1399,70543
1400,70593
1401,70643
1402,70693
1403,70749
1404,70800
1405,70850
1406,70900
1407,70950
1408,71000
1409,71050
1410,71100
1411,71150
1412,71200
1413,71258
1414,71308
1415,71358
1416,71421
1417,71475
1418,71525
1419,71575
1420,71625
1421,71675
1422,71726
1423,71776
1424,71826
1425,71876
1426,71926
1427,71976
1428,72026
1429,72076
1430,72133
1431,72184
1432,72234
1433,72284
1434,72334
1435,72384
1436,72434
1437,72485
1438,72536
1439,72586
1440,72636
1441,72686
1442,72737
1443,72798
1444,72848
1445,72898
1446,72960
1447,73013
1448,73063
1449,73113
1450,73175
1451,73225
1452,73275
1453,73325
1454,73375
1455,73425
1456,73475
1457,73525
1458,73575
1459,73625
1460,73675
1461,73725
1462,73775
1463,73825
1464,73875
1465,73925
1466,73984
1467,74034
1468,74084
1469,74134
1470,74184
1471,74234
1472,74284
1473,74334
1474,74384
1475,74434
1476,74484
1477,74534
1478,74585
1479,74635
1480,74685
1481,74735
1482,74797
1483,74847
1484,74970
1485,75020
1486,75070
1487,75156
1488,75206
1489,75256
1490,75306
1491,75356
1492,75406
1493,75456
1494,75506
1495,75556
1496,75606
1497,75656
1498,75716
1499,75766
1500,75816
1501,75866
1502,75916
1503,76014
1504,76064
1505,76114
1506,76164
1507,76214
1508,76264
1509,76314
1510,76364
1511,76414
1512,76464
1513,76514
1514,76565
1515,76615
1516,76665
1517,76715
1518,76765
1519,76815
1520,76865
1521,76915
1522,76965
1523,77015
1524,77078
1525,77128
1526,77178
1527,77228
1528,77278
1529,77328
1530,77378
1531,77428
1532,77479
1533,77529
1534,77579
1535,77629
1536,77688
1537,77754
1538,77804
1539,77854
1540,77904
1541,77954
1542,78015
1543,78065
1544,78115
1545,78165
1546,78215
1547,78265
